MProductCategory,Ctx,0.5
ImportRequest,X_R_Request,0.5
MJournal,DB,0.5
MStore,EMail,3.0
MWFEventAudit,MWFActivity,0.5
CacheClearServer,SvrProcess,3.5
MInOutLine,MInOut,1.5
PaymentTermValidate,PO,0.5
X_RV_BPartner,PO,2.0
RfQResponseRank,X_C_RfQResponse,8.0
MScheduler,DB,2.0
AssetDelivery,X_R_MailText,2.0
ImportReportLine,SvrProcess,17.0
MCalendar,MYear,1.0
CalloutProject,GridTab,7.0
VolumeTest,X_C_BPartner,2.0
FinReport,ProcessInfo,1.0
MResolution,MResolution,0.5
EntityTypeRegister,Util,0.5
OrderRePrice,MOrder,1.0
CalloutOrder,MProduct,1.5
MOrderLine,CThreadUtil,1.5
ColumnSync,NamePair,0.5
MTax,CLogger,1.0
link,Printable,2.0
MPrintFormat,X_AD_PrintFormat,2.0
ProductCost,PO,1.0
WebInfo,MWFActivity,1.0
ProjectSetType,PO,0.5
CalloutTemplate,GridTab,1.0
MAssignmentSlot,X_S_ResourceAssignment,3.0
MPayment,X_C_AllocationLine,1.5
MLoginMsg,Util,0.5
MTableIndex,MIndexColumn,1.5
MRequest,X_R_Resolution,0.5
WebInfo,MBPartner,1.0
MDunningLevel,CLogger,1.0
MCommissionRun,DB,0.5
IndexValidate,SvrProcess,4.0
MInOutLine,MProduct,2.5
MHierarchy,MHierarchy,0.5
MAttributeSetInstance,DB,0.5
CacheResetWeb,SvrProcess,2.0
MMovement,NamePair,2.0
DunningPrint,ProcessInfoParameter,3.0
MWFEventAudit,X_AD_WF_Activity,3.5
MInvoiceLine,MOrderLine,5.0
GwtServer,X_AD_TreeNodeMM,0.5
X_C_UOM_Conversion,PO,2.0
MInOut,DocumentEngine,1.0
LeadProject,PO,1.0
MCStageElement,MCStageElement,2.0
MScheduler,MScheduler,5.0
MCalendar,PO,4.0
MPayment,X_C_PaySelectionCheck,0.5
WebDoc,table,5.5
MWFActivity,MWFNode,9.5
DistributionCreate,DistributionCreate,0.5
CalloutPaySelection,CLogger,1.0
DocWorkflowManager,DocWorkflowManager,2.5
X_AD_TreeNodeCMC,PO,2.0
MNewsItem,MNewsItem,1.5
X_C_Element,PO,2.0
MInOutConfirm,ModelValidationEngine,1.0
KIndexRerun,MNewsChannel,1.0
MCostQueue,CLogger,1.0
X_A_RegistrationAttribute,PO,2.0
ImportBankStatement,MBankStatement,0.5
TableCreateColumns,SubTableUtil,1.0
X_C_Campaign,PO,2.0
X_M_AttributeSetExclude,PO,2.0
MReturnPolicy,X_M_ReturnPolicyLine,0.5
